time;model_id;model_name;port_name;data
5;15;(3,3);outputNeighborhood;<0, 4, 4, 1>
5;15;(3,3);;<0, 4, 4, 1>
5;16;(4,1);outputNeighborhood;<0, 4, 4, 1>
5;16;(4,1);;<0, 4, 4, 1>
5;17;(0,2);outputNeighborhood;<0, 4, 4, 1>
5;17;(0,2);;<0, 4, 4, 1>
5;18;(0,1);outputNeighborhood;<0, 4, 4, 1>
5;18;(0,1);;<0, 4, 4, 1>
5;19;(4,4);outputNeighborhood;<0, 4, 4, 1>
5;19;(4,4);;<0, 4, 4, 1>
5;20;(2,4);outputNeighborhood;<0, 4, 4, 1>
5;20;(2,4);;<0, 4, 4, 1>
5;21;(3,1);outputNeighborhood;<0, 4, 4, 1>
5;21;(3,1);;<0, 4, 4, 1>
5;22;(2,3);outputNeighborhood;<0, 4, 4, 1>
5;22;(2,3);;<0, 4, 4, 1>
5;23;(4,2);outputNeighborhood;<0, 4, 4, 1>
5;23;(4,2);;<0, 4, 4, 1>
5;24;(3,2);outputNeighborhood;<0, 4, 4, 1>
5;24;(3,2);;<0, 4, 4, 1>
5;25;(1,2);outputNeighborhood;<0, 4, 4, 1>
5;25;(1,2);;<0, 4, 4, 1>
5;1;(3,4);;<0, 4, 4, 1>
5;2;(4,3);;<0, 4, 4, 1>
5;3;(1,3);;<0, 4, 4, 1>
5;4;(0,4);;<0, 4, 4, 1>
5;5;(0,3);;<0, 4, 4, 1>
5;6;(0,0);;<0, 4, 4, 1>
5;7;(1,0);;<0, 4, 4, 1>
5;8;(2,2);;<0, 4, 4, 1>
5;9;(2,0);;<0, 4, 4, 1>
5;10;(3,0);;<0, 4, 4, 1>
5;11;(1,1);;<0, 4, 4, 1>
5;12;(2,1);;<0, 4, 4, 1>
5;13;(1,4);;<0, 4, 4, 1>
5;14;(4,0);;<0, 4, 4, 1>
5;15;(3,3);;<0, 4, 4, 1>
5;16;(4,1);;<0, 4, 4, 1>
5;17;(0,2);;<0, 4, 4, 1>
5;18;(0,1);;<0, 4, 4, 1>
5;19;(4,4);;<0, 4, 4, 1>
5;20;(2,4);;<0, 4, 4, 1>
5;21;(3,1);;<0, 4, 4, 1>
5;22;(2,3);;<0, 4, 4, 1>
5;23;(4,2);;<0, 4, 4, 1>
5;24;(3,2);;<0, 4, 4, 1>
5;25;(1,2);;<0, 4, 4, 1>
